trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-130.328410618112,"{0: 13, 1: 5, 2: 4, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,1,-77.12918789216306,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,2,-31.226564577376664,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,13,-66.07648436669196,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-75.94750222734052,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-189.40490889052464,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-91.14906636016634,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,7,-0.216378983152977,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,9,-33.732036176946366,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-178.45930089567557,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-189.28165452912634,"{0: 21, 1: 0, 2: 11, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,1,-114.55959588576478,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-125.1522989831941,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-69.19553107660678,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,3,-7.30296212327812,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,10,16.356852717616103,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-63.00867364333771,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,2,-174.78371048297382,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 4}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",35,0,-223.75537435089404,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 5}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,22,-6.093596639693757,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,16,8.217104717997207,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,3,-97.84168182687327,"{0: 13, 1: 0, 2: 0, 3: 2, 4: 2}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,-56.7268089870699,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,1,-8.570253492734793,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-156.05077751621025,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 4}",0
6,True,"{'a': 0.0, 'e': 0.0}",35,25,7.394964652183432,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-60.838443972658325,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,11,-67.20220962924867,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
9,True,"{'a': 0.0, 'e': 0.0}",25,0,12.640728876369792,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,1,-89.37855924645321,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 2}",1
