trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",35,0,-212.64314107175366,"{0: 17, 1: 2, 2: 14, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9990000000000001}",25,0,-194.16468548717853,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.9985000000000002}",20,0,-12.908164967216383,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9980000000000002}",25,0,-102.74942181331248,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9975000000000003}",25,0,-150.65865340983666,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9970000000000003}",20,0,-132.98654891814348,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9965000000000004}",20,0,-147.48128995586964,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9960000000000004}",30,0,-33.34506178514563,"{0: 22, 1: 5, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9955000000000005}",20,0,-256.2463221543426,"{0: 6, 1: 4, 2: 4, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.9950000000000006}",25,0,-187.7394670547653,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9945000000000006}",30,10,-65.89795755177559,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9940000000000007}",30,0,-155.56564461972644,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 0.9935000000000007}",25,0,-158.17881065946943,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9930000000000008}",20,0,-116.29720429201613,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9925000000000008}",20,0,-150.78295431179131,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9920000000000009}",25,0,-213.85727178879176,"{0: 10, 1: 1, 2: 10, 3: 2, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9915000000000009}",30,0,-157.81957081642489,"{0: 15, 1: 7, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.991000000000001}",30,0,-187.94982751464607,"{0: 16, 1: 5, 2: 4, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.990500000000001}",25,14,-35.71201487809335,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.9900000000000011}",25,0,-187.2421507707007,"{0: 12, 1: 2, 2: 7, 3: 2, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9895000000000012}",20,0,-213.06029561259356,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
22,False,"{'a': 0.5, 'e': 0.9890000000000012}",20,0,-69.54008051676232,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9885000000000013}",20,0,-104.86191004170706,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9880000000000013}",20,0,-37.853296660098046,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9875000000000014}",20,0,-127.58250452835668,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9870000000000014}",30,0,-167.28859362725734,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.9865000000000015}",20,0,-117.92426405065699,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9860000000000015}",25,0,-13.927563664125717,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9855000000000016}",20,0,-132.66293396158986,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
30,False,"{'a': 0.5, 'e': 0.9850000000000017}",30,0,-224.4290535283335,"{0: 18, 1: 1, 2: 6, 3: 1, 4: 4}",0
31,False,"{'a': 0.5, 'e': 0.9845000000000017}",25,0,-204.8467132148024,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9840000000000018}",35,0,-107.29847258895215,"{0: 24, 1: 2, 2: 8, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9835000000000018}",25,0,-172.08565431874652,"{0: 11, 1: 6, 2: 3, 3: 4, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9830000000000019}",20,0,-174.63173977695223,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
35,False,"{'a': 0.5, 'e': 0.9825000000000019}",20,0,-80.1563069643391,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.982000000000002}",20,0,-105.21612281945997,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.981500000000002}",25,0,-43.6614358770147,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.9810000000000021}",25,2,-41.25657186652725,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.9805000000000021}",25,0,-146.13508619437076,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 0.9800000000000022}",20,0,-81.72944430849991,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.9795000000000023}",20,0,-89.54563669620737,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.9790000000000023}",30,23,7.293677025059872,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.9785000000000024}",20,0,-155.94431435240472,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
44,False,"{'a': 0.5, 'e': 0.9780000000000024}",25,0,-100.28804679360668,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.9775000000000025}",20,0,-125.57653349722105,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.9770000000000025}",20,12,-22.707816453177468,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.9765000000000026}",20,0,-165.97470716773628,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.9760000000000026}",30,0,-141.09664601034237,"{0: 18, 1: 5, 2: 3, 3: 3, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.9755000000000027}",20,0,-115.74617525623161,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.9750000000000028}",25,0,-122.26350653810887,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9745000000000028}",25,0,-159.23514223961214,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.9740000000000029}",30,0,-171.23332309561778,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.9735000000000029}",35,0,-283.67452316865854,"{0: 17, 1: 4, 2: 8, 3: 2, 4: 4}",0
54,False,"{'a': 0.5, 'e': 0.973000000000003}",30,0,-185.6905680601007,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.972500000000003}",20,0,-97.72623213053984,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.9720000000000031}",25,0,-101.26592193741435,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9715000000000031}",30,0,-93.56680273327058,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9710000000000032}",30,0,-216.7860926766154,"{0: 15, 1: 3, 2: 8, 3: 1, 4: 3}",0
59,False,"{'a': 0.5, 'e': 0.9705000000000032}",30,0,-76.27624317412098,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9700000000000033}",20,0,-63.35391230782054,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9695000000000034}",25,0,-67.72039847005183,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9690000000000034}",30,0,-106.90239252178917,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
