trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-247.45913195404876,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 5}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-192.53511220164827,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-168.334561856931,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-134.80687082242,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,5,-82.71065870750192,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-140.5551231588565,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-97.86359878922127,"{0: 12, 1: 6, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-203.33927980339598,"{0: 9, 1: 6, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-297.5828768970399,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-14.211156045216333,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,12,-98.74625656367687,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-92.80421327759584,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-140.12089478770537,"{0: 12, 1: 7, 2: 3, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-20.623157086151465,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-88.27533364264866,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-79.85416914682993,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-89.04801477655238,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-133.3734868353955,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-20.462156971508488,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-185.65151279005664,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-127.51432926495255,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-174.45760328900576,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-163.2755595867704,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,0,-173.32123169574047,"{0: 17, 1: 5, 2: 5, 3: 0, 4: 3}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,16,5.789376028882885,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-123.76081111080286,"{0: 12, 1: 3, 2: 8, 3: 2, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",35,0,-229.81342577248472,"{0: 20, 1: 2, 2: 8, 3: 2, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-152.57064831976854,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-82.25236580378896,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-121.95813265586708,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
